"sourcePath","sourceSha256","sourceCategory","importPath","targetRuntimePath","status","calComTests","nerovaTests","featureFlag","licenseMarkers","notes"
".opencode/skill/vercel-react-best-practices/rules/bundle-barrel-imports.md","f3a0d74c71aaa98547d970901d73d1bc4c082762e891244e9103def40846eecb","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/bundle-barrel-imports.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/bundle-conditional.md","4f7989396148db25f386a55590f6ad4f52e16703f8afcf93b9e2782a944fc29b","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/bundle-conditional.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/bundle-defer-third-party.md","64de0f01dfe58b4d3a3865baa623f743ef1b8c363106c7dfaf2b2867f69b96d4","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/bundle-defer-third-party.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/bundle-dynamic-imports.md","0fb947cdfec5ce0e95a894c6b68220f88983eff73ce65b98e4f00c885ebd9b36","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/bundle-dynamic-imports.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/bundle-preload.md","b673a49f4cf4bf385ddf6956ca704139ec2915802bade1925134f8cfabb2278c","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/bundle-preload.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/client-event-listeners.md","e2229c8e121dfdd6bad8063ba6c41213ff612e19e077f17ba805b70d48151775","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/client-event-listeners.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/client-swr-dedup.md","866e6cc267f06df39129c44c68c5e6a2e62faa554bc8cdb6ada1f58afe4bcbbe","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/client-swr-dedup.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/js-batch-dom-css.md","e92bf11ba974f1e8be1b9a32ae34538049ddb532deeb4e33069c93ae1dcdffac","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/js-batch-dom-css.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/js-cache-function-results.md","bbef6423ad250227e8c73a5d9be6fd687707dd187ef50236fd5b6883a41d49b6","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/js-cache-function-results.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/js-cache-property-access.md","bbecc553a5b51caab2ddc90423a23d4c3245669439ff91e5204e48d62aaf1c5e","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/js-cache-property-access.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/js-cache-storage.md","7710a2ceb421d9b6d3828d7f38ec8a093af4a372c2b3b4ea2299d5df2518f770","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/js-cache-storage.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/js-combine-iterations.md","c43a02979586d39f341fa6da7fc61bdd6a6917fa0c4f9c926091fa540cdf8022","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/js-combine-iterations.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
